GOL,BBH,ZYB,AUB,NLH,NLB,MDH,OBH,OBB,OCC
190,139,133,119,50,27,32,32,40,90
175,129,132,120,47,29,30,30,37,92
180,129,123,113,48,25,29,33,42,89
169,125,126,119,48,24,27,33,39,95
178,141,122,115,48,28,26,35,39,106
168,137,134,130,50,29,25,36,38,89
178,114,122,114,46,27,21,30,39,90
186,134,135,123,51,24,31,33,39,101
189,133,136,126,50,26,30,35,39,99
182,123,127,114,48,28,20,31,41,85
181,127,134,129,52,25,27,34,40,94
175,125,127,115,49,25,30,33,39,89
188,136,138,131,54,20,25,35,39,107
169,124,124,122,49,25,26,33,36,95
176,126,116,110,48,23,27,30,36,100
197,140,143,133,56,31,32,35,43,102
183,130,138,132,49,26,32,34,37,96
181,135,137,128,54,23,28,36,40,103
194,139,140,132,58,29,33,37,42,103
170,135,133,123,47,30,31,37,40,96
